TP,Kn,Nu,Wrn,Ukr,Tgl Msk,Umur,Awal,Masuk,Jual,Kirim,Akhir,STR,SSR
Kaos,Kain Fleece,1,Merah,M,3/4/2024,201,2,0,0,1,1,0.00,0.00
Kaos,Kain Fleece,1,Merah,L,3/4/2024,201,0,0,0,0,0,0.00,0.00
Kaos,Kain Terry,1,Merah,M,3/8/2024,197,0,0,0,0,0,0.00,0.00
Kaos,Kain Terry,1,Merah,L,3/8/2024,197,3,0,0,3,0,0.00,0.00
Kaos,Kain Embossed,1,Coral,S,3/6/2024,199,4,0,0,3,1,0.00,0.00
Kaos,Kain Embossed,1,Coral,M,3/6/2024,199,3,0,0,3,0,0.00,0.00
Kaos,Kain Embossed,1,Coral,L,3/6/2024,199,6,0,0,6,0,0.00,0.00
Kaos,Kain Embossed,1,Light Gray,S,3/6/2024,199,2,0,0,1,1,0.00,0.00
Kaos,Kain Embossed,1,Light Gray,M,3/6/2024,199,0,0,0,0,0,0.00,0.00
Kaos,Kain Embossed,1,Light Gray,L,3/6/2024,199,0,0,0,0,0,0.00,0.00
Kemeja,Kain Kanvas,2,Merah,S,3/30/2024,175,8,0,0,8,0,0.00,0.00
Kemeja,Kain Kanvas,2,Merah,M,3/30/2024,175,7,0,0,7,0,0.00,0.00
Kemeja,Kain Kanvas,2,Merah,L,3/30/2024,175,9,0,0,9,0,0.00,0.00
Kemeja,Kain Kanvas,2,Hijau,S,3/30/2024,175,6,0,0,6,0,0.00,0.00
Kemeja,Kain Kanvas,2,Hijau,M,3/30/2024,175,6,0,0,6,0,0.00,0.00
Kemeja,Kain Kanvas,2,Hijau,L,3/30/2024,175,9,0,0,9,0,0.00,0.00
Kemeja,Kain Drill,1,Merah,S,4/30/2024,144,1,0,0,1,0,0.00,0.00
Kemeja,Kain Drill,1,Merah,M,4/30/2024,144,0,0,0,0,0,0.00,0.00
Kemeja,Kain Drill,1,Merah,L,4/30/2024,144,2,0,0,2,0,0.00,0.00
Kemeja,Kain Drill,3,Merah,S,3/30/2024,175,1,0,0,1,0,0.00,0.00
Kemeja,Kain Drill,3,Merah,M,3/30/2024,175,2,0,0,2,0,0.00,0.00
Kemeja,Kain Drill,3,Merah,L,3/30/2024,175,2,0,0,2,0,0.00,0.00
Kemeja,Kain Drill,3,Hijau,S,3/30/2024,175,8,0,0,8,0,0.00,0.00
Kemeja,Kain Drill,3,Hijau,M,3/30/2024,175,9,0,0,8,1,0.00,0.00
Kemeja,Kain Drill,3,Hijau,L,3/30/2024,175,7,0,0,7,0,0.00,0.00
Kemeja,Kain Drill,3,Lilac,S,3/30/2024,175,0,0,0,0,0,0.00,0.00
Kemeja,Kain Drill,3,Lilac,M,3/30/2024,175,2,0,0,2,0,0.00,0.00
Kemeja,Kain Drill,3,Lilac,L,3/30/2024,175,2,0,0,2,0,0.00,0.00
Kemeja,Kain Corduroy,2,Plum,S,3/18/2024,187,0,0,0,0,0,0.00,0.00
Kemeja,Kain Corduroy,2,Plum,L,3/18/2024,187,4,0,0,3,1,0.00,0.00
Kemeja,Kain Brokat,2,Hitam,S,3/23/2024,182,13,0,0,13,0,0.00,0.00
Kemeja,Kain Brokat,2,Hitam,M,3/23/2024,182,14,0,0,14,0,0.00,0.00
Kemeja,Kain Brokat,2,Hitam,L,3/23/2024,182,13,0,0,13,0,0.00,0.00
Kemeja,Kain Jacquard,1,Hijau,M,12/28/2023,268,0,0,0,0,0,0.00,0.00
Kemeja,Kain Jacquard,1,Hijau,L,12/28/2023,268,0,0,0,0,0,0.00,0.00
Kemeja,Kain Jacquard,1,Khaki,M,12/28/2023,268,0,0,0,0,0,0.00,0.00
Kemeja,Kain Jacquard,1,Khaki,L,12/28/2023,268,0,0,0,0,0,0.00,0.00
Kemeja,Kain Taffeta,1,Merah,S,1/3/2024,262,0,0,0,0,0,0.00,0.00
Kemeja,Kain Taffeta,1,Merah,L,1/3/2024,262,0,0,0,0,0,0.00,0.00
Kemeja,Kain Taffeta,1,Hijau,S,1/3/2024,262,4,0,0,3,1,0.00,0.00
Kemeja,Kain Taffeta,1,Hijau,M,1/3/2024,262,4,0,0,4,0,0.00,0.00
Kemeja,Kain Taffeta,1,Hijau,L,1/3/2024,262,4,0,0,4,0,0.00,0.00
Jaket,Kain Brokat,1,Merah,S,3/19/2024,186,5,0,0,5,0,0.00,0.00
Jaket,Kain Brokat,1,Merah,M,3/19/2024,186,6,0,0,6,0,0.00,0.00
Jaket,Kain Brokat,1,Merah,L,3/19/2024,186,0,0,0,0,0,0.00,0.00
Jaket,Kain Brokat,1,Hijau,S,3/19/2024,186,6,0,0,6,0,0.00,0.00
Jaket,Kain Brokat,1,Hijau,M,3/19/2024,186,2,0,0,2,0,0.00,0.00
Jaket,Kain Brokat,1,Hijau,L,3/19/2024,186,4,0,0,4,0,0.00,0.00
Blus,Kain Jersey,3,Merah,S,12/23/2023,273,3,0,1,0,2,0.33,3.00
Blus,Kain Jersey,3,Merah,M,12/23/2023,273,3,0,1,0,2,0.33,3.00
Blus,Kain Jersey,3,Merah,L,12/23/2023,273,4,0,2,0,2,0.50,2.00
Blus,Kain Jersey,3,Biru,M,12/23/2023,273,0,0,0,0,0,0.00,0.00
Blus,Kain Jersey,3,Biru,L,12/23/2023,273,1,0,1,0,0,1.00,1.00
Blus,Kain Jersey,3,Magenta,M,12/23/2023,273,0,0,0,0,0,0.00,0.00
Blus,Kain Chiffon,3,Hijau,S,1/31/2024,234,0,0,0,0,0,0.00,0.00
Blus,Kain Chiffon,3,Hijau,L,1/31/2024,234,0,0,0,0,0,0.00,0.00
Blus,Kain Chiffon,3,Lavender,S,1/31/2024,234,5,0,0,2,3,0.00,0.00
Blus,Kain Chiffon,3,Lavender,M,1/31/2024,234,2,0,1,1,0,0.50,2.00
Blus,Kain Chiffon,3,Lavender,L,1/31/2024,234,4,0,1,2,1,0.25,4.00
Blus,Kain Kanvas,9,Merah,S,7/6/2024,77,0,2,0,0,2,0.00,0.00
Blus,Kain Kanvas,9,Merah,M,7/6/2024,77,0,3,1,0,2,0.33,3.00
Blus,Kain Kanvas,9,Merah,L,7/6/2024,77,2,3,1,2,2,0.20,5.00
Blus,Kain Kanvas,9,Hijau,S,7/6/2024,77,0,2,0,0,2,0.00,0.00
Blus,Kain Kanvas,9,Hijau,M,7/6/2024,77,1,2,0,1,2,0.00,0.00
Blus,Kain Kanvas,9,Hijau,L,7/6/2024,77,1,2,0,1,2,0.00,0.00
Blus,Kain Kanvas,9,Biru,S,7/6/2024,77,0,3,2,0,1,0.67,1.50
Blus,Kain Kanvas,9,Biru,M,7/6/2024,77,0,5,3,0,2,0.60,1.67
Blus,Kain Kanvas,9,Biru,L,7/6/2024,77,0,4,4,0,0,1.00,1.00
Blus,Kain Kanvas,9,Magenta,S,7/6/2024,77,0,6,3,0,3,0.50,2.00
Blus,Kain Kanvas,9,Magenta,M,7/6/2024,77,0,4,1,0,3,0.25,4.00
Blus,Kain Kanvas,9,Magenta,L,7/6/2024,77,1,4,3,1,1,0.60,1.67
Blus,Kain Kanvas,10,Navy,S,7/3/2024,80,0,2,2,0,0,1.00,1.00
Blus,Kain Kanvas,10,Navy,M,7/3/2024,80,0,2,2,0,0,1.00,1.00
Blus,Kain Kanvas,10,Navy,L,7/3/2024,80,0,4,3,0,1,0.75,1.33
Blus,Kain Drill,1,Hijau,S,7/11/2024,72,3,0,2,1,0,0.67,1.50
Blus,Kain Drill,1,Hijau,M,7/11/2024,72,2,0,1,1,0,0.50,2.00
Blus,Kain Drill,1,Hijau,L,7/11/2024,72,0,0,0,0,0,0.00,0.00
Blus,Kain Drill,1,Hitam,L,7/11/2024,72,0,0,0,0,0,0.00,0.00
Blus,Kain Drill,1,Ungu,M,7/11/2024,72,0,0,0,0,0,0.00,0.00
Blus,Kain Drill,1,Ungu,L,7/11/2024,72,0,0,0,0,0,0.00,0.00
Blus,Kain Piping,9,Merah,S,2/17/2024,217,7,0,4,0,3,0.57,1.75
Blus,Kain Piping,9,Merah,M,2/17/2024,217,2,0,2,0,0,1.00,1.00
Blus,Kain Piping,9,Merah,L,2/17/2024,217,8,0,3,5,0,0.38,2.67
Blus,Kain Embossed,4,Maroon,S,1/8/2024,257,0,0,0,0,0,0.00,0.00
Blus,Kain Embossed,4,Maroon,M,1/8/2024,257,1,0,0,0,1,0.00,0.00
Blus,Kain Embossed,4,Maroon,L,1/8/2024,257,3,0,0,0,3,0.00,0.00
Blus,Kain Embossed,4,Coral,M,1/8/2024,257,0,0,0,0,0,0.00,0.00
Blus,Kain Kain Krep,1,Hijau,S,12/5/2023,291,0,0,0,0,0,0.00,0.00
Blus,Kain Kain Krep,1,Hijau,M,12/5/2023,291,1,0,0,1,0,0.00,0.00
Blus,Kain Kain Krep,1,Hijau,L,12/5/2023,291,2,0,0,2,0,0.00,0.00
Blus,Kain Kain Polos,1,Peach,S,12/5/2023,291,2,0,0,2,0,0.00,0.00
Blus,Kain Kain Polos,1,Peach,M,12/5/2023,291,3,0,0,3,0,0.00,0.00
Blus,Kain Kain Polos,1,Peach,L,12/5/2023,291,3,0,0,3,0,0.00,0.00
Blus,Kain Kain Glitter,2,Putih,L,12/12/2023,284,1,0,0,1,0,0.00,0.00
Blus,Kain Kain Recycle,1,Navy,S,12/12/2023,284,4,0,0,4,0,0.00,0.00
Blus,Kain Kain Recycle,1,Navy,M,12/12/2023,284,4,0,0,4,0,0.00,0.00
Blus,Kain Kain Recycle,1,Navy,L,12/12/2023,284,4,0,0,4,0,0.00,0.00
Blus,Kain Kain Jersey,2,Khaki,S,12/2/2023,294,4,0,0,4,0,0.00,0.00
Blus,Kain Kain Jersey,2,Khaki,M,12/2/2023,294,3,0,0,3,0,0.00,0.00
Blus,Kain Kain Jersey,2,Khaki,L,12/2/2023,294,0,0,0,0,0,0.00,0.00
Blus,Kain Kain Renda,2,Mint,S,12/2/2023,294,4,0,2,2,0,0.50,2.00
Blus,Kain Kain Renda,2,Mint,M,12/2/2023,294,4,0,0,4,0,0.00,0.00
Blus,Kain Kain Renda,2,Mint,L,12/2/2023,294,2,0,0,2,0,0.00,0.00
Blus,Kain Kain Eco-Leather,1,Magenta,S,11/14/2023,312,0,0,0,0,0,0.00,0.00
Blus,Kain Kain Eco-Leather,1,Magenta,M,11/14/2023,312,1,0,0,1,0,0.00,0.00
Blus,Kain Kain Eco-Leather,1,Magenta,L,11/14/2023,312,1,0,0,1,0,0.00,0.00
Blus,Kain Kain Kustom,2,Olive,M,11/14/2023,312,1,0,0,1,0,0.00,0.00
Blus,Kain Kain Kustom,2,Olive,L,11/14/2023,312,1,0,0,1,0,0.00,0.00
Blus,Kain Kain Polyster Blend,1,Teal,S,11/22/2023,304,3,0,0,3,0,0.00,0.00
Blus,Kain Kain Polyster Blend,1,Teal,M,11/22/2023,304,3,0,0,3,0,0.00,0.00
Blus,Kain Kain Polyster Blend,1,Teal,L,11/22/2023,304,4,0,0,3,1,0.00,0.00
Blus,Kain Kain Faux Fur,1,Olive,S,11/22/2023,304,2,0,1,1,0,0.50,2.00
Blus,Kain Kain Faux Fur,1,Olive,M,11/22/2023,304,3,4,0,6,1,0.00,0.00
Blus,Kain Kain Faux Fur,1,Olive,L,11/22/2023,304,4,3,1,6,0,0.14,7.00
Blus,Kain Kain Oxford,1,Hijau,S,1/29/2024,236,1,0,1,0,0,1.00,1.00
Blus,Kain Kain Oxford,1,Hijau,M,1/29/2024,236,3,0,2,0,1,0.67,1.50
Blus,Kain Kain Oxford,1,Hijau,L,1/29/2024,236,1,0,0,0,1,0.00,0.00
Blus,Kain Kain Punya Tekstur,2,Peach,S,4/30/2024,144,2,2,2,2,0,0.50,2.00
Blus,Kain Kain Punya Tekstur,2,Peach,M,4/30/2024,144,1,0,0,1,0,0.00,0.00
Blus,Kain Kain Punya Tekstur,2,Peach,L,4/30/2024,144,1,1,0,2,0,0.00,0.00
Blus,Kain Kain Khusus,1,Peach,S,5/15/2024,129,0,2,2,0,0,1.00,1.00
Blus,Kain Kain Khusus,1,Peach,M,5/15/2024,129,0,3,1,0,2,0.33,3.00
Blus,Kain Kain Khusus,1,Peach,L,5/15/2024,129,0,2,1,0,1,0.50,2.00
Blus,Kain Kain Jala,1,Charcoal,S,6/8/2024,105,0,2,0,0,2,0.00,0.00
Blus,Kain Kain Jala,1,Charcoal,M,6/8/2024,105,0,2,0,0,2,0.00,0.00
Blus,Kain Kain Jala,1,Charcoal,L,6/8/2024,105,0,4,1,1,2,0.25,4.00
Blus,Kain Kain Camo,1,Magenta,S,6/18/2024,95,0,2,0,0,2,0.00,0.00
Blus,Kain Kain Camo,1,Magenta,M,6/18/2024,95,0,2,0,0,2,0.00,0.00
Blus,Kain Kain Camo,1,Magenta,L,6/18/2024,95,0,2,1,0,1,0.50,2.00
Blus,Kain Kain Scratch,1,Navy,S,6/13/2024,100,0,2,1,0,1,0.50,2.00
Blus,Kain Kain Scratch,1,Navy,M,6/13/2024,100,0,2,1,0,1,0.50,2.00
Blus,Kain Kain Scratch,1,Navy,L,6/13/2024,100,0,2,0,0,2,0.00,0.00
Rok,Kain Jersey,2,Merah,S,12/12/2023,284,1,0,0,0,1,0.00,0.00
Rok,Kain Jersey,2,Merah,M,12/12/2023,284,2,0,0,0,2,0.00,0.00
Rok,Kain Jersey,2,Merah,L,12/12/2023,284,2,0,0,0,2,0.00,0.00
Rok,Kain Jersey,2,Biru,M,12/12/2023,284,0,0,0,0,0,0.00,0.00
Rok,Kain Jersey,2,Biru,L,12/12/2023,284,2,0,0,2,0,0.00,0.00
Rok,Kain Jersey,2,Magenta,S,12/12/2023,284,0,0,0,0,0,0.00,0.00
Rok,Kain Jersey,2,Magenta,L,12/12/2023,284,4,0,0,4,0,0.00,0.00
Rok,Kain Jersey,3,Merah,S,11/14/2023,312,0,0,0,0,0,0.00,0.00
Rok,Kain Jersey,3,Merah,M,11/14/2023,312,2,0,1,0,1,0.50,2.00
Rok,Kain Jersey,3,Merah,L,11/14/2023,312,4,0,0,0,4,0.00,0.00
Rok,Kain Kanvas,6,Merah,S,7/16/2024,67,0,2,0,0,2,0.00,0.00
Rok,Kain Kanvas,6,Merah,M,7/16/2024,67,1,2,0,1,2,0.00,0.00
Rok,Kain Kanvas,6,Merah,L,7/16/2024,67,1,2,0,1,2,0.00,0.00
Rok,Kain Kanvas,6,Hijau,S,7/16/2024,67,1,4,3,0,2,0.60,1.67
Rok,Kain Kanvas,6,Hijau,M,7/16/2024,67,0,4,3,0,1,0.75,1.33
Rok,Kain Kanvas,6,Hijau,L,7/16/2024,67,1,4,2,1,2,0.40,2.50
Rok,Kain Kanvas,6,Biru,S,7/16/2024,67,0,2,0,0,2,0.00,0.00
Rok,Kain Kanvas,6,Biru,M,7/16/2024,67,0,2,2,0,0,1.00,1.00
Rok,Kain Kanvas,6,Biru,L,7/16/2024,67,0,2,2,0,0,1.00,1.00
Rok,Kain Kanvas,6,Navy,S,7/16/2024,67,0,0,0,0,0,0.00,0.00
Rok,Kain Kanvas,6,Navy,M,7/16/2024,67,1,0,0,1,0,0.00,0.00
Rok,Kain Kanvas,6,Magenta,S,7/16/2024,67,1,2,2,1,0,0.67,1.50
Rok,Kain Kanvas,6,Magenta,M,7/16/2024,67,0,2,1,0,1,0.50,2.00
Rok,Kain Kanvas,6,Magenta,L,7/16/2024,67,2,3,2,2,1,0.40,2.50
Rok,Kain Kain Eco-Friendly,1,Charcoal,S,1/18/2024,247,3,0,0,3,0,0.00,0.00
Rok,Kain Kain Eco-Friendly,1,Charcoal,M,1/18/2024,247,2,0,0,2,0,0.00,0.00
Rok,Kain Kain Eco-Friendly,1,Charcoal,L,1/18/2024,247,1,0,0,1,0,0.00,0.00
Rok,Kain Kain Taktis,1,Magenta,S,6/18/2024,95,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Taktis,1,Magenta,M,6/18/2024,95,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Taktis,1,Magenta,L,6/18/2024,95,0,2,1,0,1,0.50,2.00
Rok,Kain Kain Outdoor,1,Khaki,S,5/4/2024,140,0,2,1,0,1,0.50,2.00
Rok,Kain Kain Outdoor,1,Khaki,M,5/4/2024,140,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Outdoor,1,Khaki,L,5/4/2024,140,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Pakaian Formal,1,Charcoal,S,5/8/2024,136,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Pakaian Formal,1,Charcoal,M,5/8/2024,136,0,3,1,0,2,0.33,3.00
Rok,Kain Kain Pakaian Formal,1,Charcoal,L,5/8/2024,136,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Olahraga,1,Peach,S,5/4/2024,140,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Olahraga,1,Peach,M,5/4/2024,140,0,2,1,0,1,0.50,2.00
Rok,Kain Kain Olahraga,1,Peach,L,5/4/2024,140,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Serbaguna,1,Magenta,S,6/29/2024,84,0,2,1,0,1,0.50,2.00
Rok,Kain Kain Serbaguna,1,Magenta,M,6/29/2024,84,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Serbaguna,1,Magenta,L,6/29/2024,84,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Tradisional,1,Peach,S,5/31/2024,113,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Tradisional,1,Peach,M,5/31/2024,113,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Tradisional,1,Peach,L,5/31/2024,113,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Desain,1,Lilac,S,7/9/2024,74,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Desain,1,Lilac,M,7/9/2024,74,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Desain,1,Lilac,L,7/9/2024,74,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Modis,1,Mustard,S,5/15/2024,129,0,3,2,0,1,0.67,1.50
Rok,Kain Kain Modis,1,Mustard,M,5/15/2024,129,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Modis,1,Mustard,L,5/15/2024,129,0,2,1,0,1,0.50,2.00
Rok,Kain Kain Perayaan,1,Hitam,S,6/18/2024,95,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Perayaan,1,Hitam,M,6/18/2024,95,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Perayaan,1,Hitam,L,6/18/2024,95,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Rajut,1,Peach,S,5/8/2024,136,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Rajut,1,Peach,M,5/8/2024,136,0,3,1,0,2,0.33,3.00
Rok,Kain Kain Rajut,1,Peach,L,5/8/2024,136,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Jala,1,Lilac,S,7/2/2024,81,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Jala,1,Lilac,M,7/2/2024,81,0,2,1,0,1,0.50,2.00
Rok,Kain Kain Jala,1,Lilac,L,7/2/2024,81,0,2,1,0,1,0.50,2.00
Rok,Kain Kain Jala,2,Charcoal,S,6/10/2024,103,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Jala,2,Charcoal,M,6/10/2024,103,0,2,1,0,1,0.50,2.00
Rok,Kain Kain Jala,2,Charcoal,L,6/10/2024,103,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Camo,1,Charcoal,S,5/27/2024,117,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Camo,1,Charcoal,M,5/27/2024,117,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Camo,1,Charcoal,L,5/27/2024,117,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Stylish,1,Navy,S,6/26/2024,87,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Stylish,1,Navy,M,6/26/2024,87,0,2,0,0,2,0.00,0.00
Rok,Kain Kain Stylish,1,Navy,L,6/26/2024,87,0,2,0,0,2,0.00,0.00
Celana Panjang,Kain Tulle,1,Hijau,S,5/11/2024,133,0,2,0,0,2,0.00,0.00
Celana Panjang,Kain Tulle,1,Hijau,M,5/11/2024,133,0,2,1,0,1,0.50,2.00
Celana Panjang,Kain Tulle,1,Hijau,L,5/11/2024,133,0,2,1,0,1,0.50,2.00
Celana Panjang,Kain Tulle,1,Krem,S,5/11/2024,133,4,4,5,1,2,0.63,1.60
Celana Panjang,Kain Tulle,1,Krem,M,5/11/2024,133,3,3,4,2,0,0.67,1.50
Celana Panjang,Kain Tulle,1,Krem,L,5/11/2024,133,5,2,4,2,1,0.57,1.75
Celana Panjang,Kain Sequin,1,Biru,S,5/29/2024,115,0,2,0,0,2,0.00,0.00
Celana Panjang,Kain Sequin,1,Biru,M,5/29/2024,115,0,2,0,0,2,0.00,0.00
Celana Panjang,Kain Sequin,1,Biru,L,5/29/2024,115,0,2,0,0,2,0.00,0.00
Celana Panjang,Kain Sequin,1,Krem,S,5/29/2024,115,0,2,0,0,2,0.00,0.00
Celana Panjang,Kain Sequin,1,Krem,M,5/29/2024,115,0,2,0,0,2,0.00,0.00
Celana Panjang,Kain Sequin,1,Krem,L,5/29/2024,115,0,2,0,0,2,0.00,0.00
Celana Panjang,Kain Sequin,1,Peach,S,5/29/2024,115,0,3,2,0,1,0.67,1.50
Celana Panjang,Kain Sequin,1,Peach,M,5/29/2024,115,0,2,0,0,2,0.00,0.00
Celana Panjang,Kain Sequin,1,Peach,L,5/29/2024,115,0,2,0,0,2,0.00,0.00
Celana Panjang,Kain Sequin,1,Mustard,S,5/29/2024,115,0,3,2,0,1,0.67,1.50
Celana Panjang,Kain Sequin,1,Mustard,M,5/29/2024,115,0,3,1,0,2,0.33,3.00
Celana Panjang,Kain Sequin,1,Mustard,L,5/29/2024,115,0,3,1,0,2,0.33,3.00
Celana Panjang,Kain Kain Kebun,1,Navy,S,8/23/2024,29,0,2,1,0,1,0.50,2.00
Celana Panjang,Kain Kain Kebun,1,Navy,M,8/23/2024,29,0,2,0,0,2,0.00,0.00
